[2022-12-24 10:01:46,897:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo39.jpg
[2022-12-24 10:01:49,800:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:01:52,614:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:04,057:INFO:mainLog:MainThread] Media request with index 41 has been added
[2022-12-24 10:02:04,062:INFO:mainLog:MainThread] Media request with index 42 has been added
[2022-12-24 10:02:04,066:INFO:mainLog:MainThread] Media request with index 43 has been added
[2022-12-24 10:02:04,071:INFO:mainLog:MainThread] Media request with index 44 has been added
[2022-12-24 10:02:04,077:INFO:mainLog:MainThread] Media request with index 45 has been added
[2022-12-24 10:02:04,082:INFO:mainLog:MainThread] Media request with index 46 has been added
[2022-12-24 10:02:04,086:INFO:mainLog:MainThread] Text request with index 47 has been added
[2022-12-24 10:02:05,723:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:02:05,923:INFO:mainLog:MainThread] Category processed successfully | Arabic: اطقم
[2022-12-24 10:02:05,926:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:02:05,931:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:02:06,884:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:02:06,888:INFO:mainLog:MainThread] Product created successfully with ID: 519756467 | SKU: 110936
[2022-12-24 10:02:10,187:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo48.jpg
[2022-12-24 10:02:13,200:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:15,936:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:18,638:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:21,531:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:24,513:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:24,664:INFO:mainLog:MainThread] Media request with index 53 has been added
[2022-12-24 10:02:24,664:INFO:mainLog:MainThread] Media request with index 54 has been added
[2022-12-24 10:02:24,675:INFO:mainLog:MainThread] Media request with index 55 has been added
[2022-12-24 10:02:24,681:INFO:mainLog:MainThread] Text request with index 56 has been added
[2022-12-24 10:02:25,217:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:02:25,436:WARNING:mainLog:MainThread] Category قمصان وبلايز is not on the list
[2022-12-24 10:02:25,452:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:02:25,456:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:02:26,394:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:02:26,394:INFO:mainLog:MainThread] Product created successfully with ID: 519762330 | SKU: 110937
[2022-12-24 10:02:28,600:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo57.jpg
[2022-12-24 10:02:30,717:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:32,816:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:32,832:INFO:mainLog:MainThread] Media request with index 59 has been added
[2022-12-24 10:02:32,837:INFO:mainLog:MainThread] Media request with index 60 has been added
[2022-12-24 10:02:32,841:INFO:mainLog:MainThread] Media request with index 61 has been added
[2022-12-24 10:02:32,846:INFO:mainLog:MainThread] Media request with index 62 has been added
[2022-12-24 10:02:32,850:INFO:mainLog:MainThread] Media request with index 63 has been added
[2022-12-24 10:02:32,854:INFO:mainLog:MainThread] Text request with index 64 has been added
[2022-12-24 10:02:33,561:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:02:33,772:INFO:mainLog:MainThread] Category processed successfully | Arabic: بيجامات
[2022-12-24 10:02:33,780:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:02:33,786:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:02:34,704:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:02:34,720:INFO:mainLog:MainThread] Product created successfully with ID: 519757961 | SKU: 110938
[2022-12-24 10:02:37,368:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo65.jpg
[2022-12-24 10:02:39,748:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:41,882:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:43,725:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:45,644:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:45,668:INFO:mainLog:MainThread] Media request with index 69 has been added
[2022-12-24 10:02:45,673:INFO:mainLog:MainThread] Media request with index 70 has been added
[2022-12-24 10:02:45,678:INFO:mainLog:MainThread] Media request with index 71 has been added
[2022-12-24 10:02:45,682:INFO:mainLog:MainThread] Media request with index 72 has been added
[2022-12-24 10:02:45,687:INFO:mainLog:MainThread] Media request with index 73 has been added
[2022-12-24 10:02:45,693:INFO:mainLog:MainThread] Media request with index 74 has been added
[2022-12-24 10:02:45,697:INFO:mainLog:MainThread] Media request with index 75 has been added
[2022-12-24 10:02:45,701:INFO:mainLog:MainThread] Media request with index 76 has been added
[2022-12-24 10:02:45,707:INFO:mainLog:MainThread] Text request with index 77 has been added
[2022-12-24 10:02:47,091:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:02:47,320:WARNING:mainLog:MainThread] Category قمصان وبلايز is not on the list
[2022-12-24 10:02:47,328:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:02:47,337:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:02:48,285:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:02:48,289:INFO:mainLog:MainThread] Product created successfully with ID: 519756477 | SKU: 110939
[2022-12-24 10:02:50,946:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo78.jpg
[2022-12-24 10:02:53,921:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:56,446:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:02:58,771:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
